airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-05-03,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,10:25:00,1585,1.0,In-flight meal not included,11087
Air India,2019-05-09,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,7174
Jet Airways,2019-06-01,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,15812
Indigo,2019-06-18,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Vistara,2019-03-01,Banglore,New Delhi,21:10:00,00:05:00,175,0.0,No Info,21730
Multiple Carriers,2019-06-03,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,10877
Spicejet,2019-06-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Air India,2019-06-18,Banglore,Delhi,17:00:00,19:50:00,170,0.0,No Info,6961
Indigo,2019-05-09,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Multiple Carriers,2019-05-21,Delhi,Cochin,17:15:00,00:55:00,460,1.0,No Info,7858
Jet Airways,2019-06-27,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Multiple Carriers,2019-03-06,Delhi,Cochin,13:55:00,21:00:00,425,1.0,In-flight meal not included,15136
Multiple Carriers,2019-05-27,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,10197
Spicejet,2019-05-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,10:25:00,690,1.0,No Info,13817
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,13941
Indigo,2019-06-24,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,8452
Jet Airways,2019-06-01,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,In-flight meal not included,10368
Jet Airways,2019-03-15,Banglore,New Delhi,14:05:00,08:15:00,1090,1.0,In-flight meal not included,9134
Indigo,2019-06-12,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5058
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,08:15:00,1400,1.0,No Info,14815
Goair,2019-03-06,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No Info,19495
Air India,2019-06-12,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,12488
Jet Airways,2019-06-12,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Indigo,2019-06-21,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Jet Airways,2019-05-21,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,16079
Spicejet,2019-03-03,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,9748
Indigo,2019-05-21,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Air India,2019-05-09,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,04:25:00,900,2.0,No Info,16704
